Sentences,غصہ,نفرت,خوف,اداسی,حیرت,خوشی
ہمارا تعلق اس نابینا معاشرے سے ہے جہاں اداسی کا یقین دلانے کیلئے آنسو بہانا پڑتا ہے بیماری کا یقین دلانے کیلئے مرنا پڑتا ہے ,0,0,0,1,0,0
اتنی اداسی کے موسم میں بارش ہو رہی ہو تو چار چاند لگ جاتے اداسی کو بھی,0,0,0,1,0,1
کیسے مطلب ادا کرے کوئی دُکھ کا کیا ترجمہ کرے کوئی ایک بے رنگ سی اداسی ہے ایسے موسم میں کیا کرے کوئی,0,0,0,1,0,0
سمندروں کو بھی حیرت ہوئی کہ ڈوبتے وقت کسی کو ہم نے مدد کےلئے پکارا نہیں ادبکاسفر,0,0,0,0,1,0
القرآن سورۃ نمبر الشعراء آیت نمبر ترجمہاور میرا دل تنگ ہونے لگتا ہے اور میری زبان نہیں چلتی اس لیے آپ ہا,0,0,1,0,0,0
انڈیا میں انتہا پسند مودی حکومت نے مسلمانوں سے نفرت کی انتہا کر دی اپنی بیٹیوں کو تربیت دے کر مسلمانوں کو مارنے,1,1,0,0,0,0
مُرشِد تھا جس کا ڈر وہی بات ہو گی مُرشِد میری سنو کہ مجھے مات ہو گئی مُرشِد میرے تو جذبے سارے ہی,0,0,1,1,0,0
میری تو حیرت کی انتہا ہو گٸی جو عورت ایک ماہ پہلے سُرخ سندوری رنگ کی لگتی تھی آج دیکھا چہرہ بالوں سے بھرا ہوا بالائ,0,0,0,1,1,0
مجھے اکثر ایسے واقعات دیکھ کہ خوشی بھی ہوتی ہے اور دکھ بھی انڈین مسلم کو ہندو جگا رھا ہے لیکن وہ انہیں,0,0,0,1,0,1
اداسی اِز مائی بیسٹ دوست,0,0,0,1,1,1
ایک مجذوب اُداسی میرے اندر گُم ہے اس سمندر میں کوئی اور سمندر گُم ہے,0,0,0,1,1,0
گر بازی عشق کی بازی ہے تو جو چاہے لگا لو ڈر کیسا جیت گٕے تو کیا کہنے ہارے بھی تو بازی مات نہیں,0,0,0,1,0,1
رسول اللہنےدجال کا تذکرہ کیا کہ اسکی دونوں آنکھوں کے درمیان کافر لکھا ہوا ہے ہر وہ شخص پڑھے گا جو اسک,0,0,0,0,0,0
دو دن پہلے اپنا حق مانگنے کی سزا کاٹنے کے بعد رہا ہونے والا عارف وزیر کوگولیاں مار کر شدید زخمی کر دیا جب پوچہت,1,1,0,1,0,0
حیرت ہے کہ تعلیم و ترقی میں ہے پیچھے جس قوم کا آغاز ہی اقرا سے ہوا تھا,0,0,0,1,1,0
زرداری نہیں ہو گا کیونکہ وہ سنا ھے مر چکا ھے اور برف میں دبا کر رکھ دیا گیا ھے کورونا کے خوف سے کہ کوئی ن,1,0,0,1,0,0
__السلام علیکم💟 🌿رسول اللہ نے فرمایا جو چیز سب سے زیادہ جنت میں داخل کرے گی وہ اللہ تعالی کا ڈر اور اچھا اخلاق ہے,0,0,0,0,0,0
بھارت میں مسلمانوں کےخلاف پھر نفرت کا کارڈ کھیلا جارہا ہےہندو دہشت گرد تنظیم آر ایس ایس مسلم مخال,1,1,1,1,0,0
حیرت ہے آپ کو لگتا ہے عالم ہے,0,0,0,0,1,0
اور ایک یہ دُکھ بھی ہم کو اندر سے کھا رہا ہے کہ ہم نہ ہونگے مگر اُداسی کھڑی رہے گی,0,0,0,1,0,0
حیرت ہے مجھے حضرت انسان پر فیعل خود بد کرے لانت بھیجے شیطان پر,0,1,0,1,1,0
تم فرمادو کہ اے لوگو میں تو یہی تمہارے لئے صریح ڈر سنانے والا ہوں,0,0,0,0,0,0
لیکن میرے خیال میں جنت کا حقدار وہ ہے جس کے دل میں ہمیشہ یہ خوف رہے کی مجھے ہر آن ہر گھڑی اللہ دیکھ رہا ہے وہ گناہ,0,0,1,0,0,0
اگر خوشی سے دے سکیں تو کوئ ہرج نہیں,0,0,0,0,0,1
نکے باجوہ صاحب جو کام آپ نے کیا ہی نہیں وہاں آپ کیا آئے جائے کیوں ذلیل ہونے کے لیے مشیر بن گئے ہیں قوم یوتھ سمجھتی,1,1,0,1,0,0
اداسی اکیلئ ہی ٹھیک ہے✨دنیا کے عارضی سہاروں سے🥀 نمودعشق,0,0,0,1,0,0
مسکرانے کے لئے خوابوں اور یادوں کی بجائے حقیقی اور پرانے دوستوں کی دعوت کر کے خوشی کا ماحو,0,0,0,0,0,1
دنیا میں تیل کی قیمتوں میں حیرت انگیز کمی ہوئی لیکن  نے اتنے پیسوں میں ہی بجلی بنانی ہے جتنے میں طے,0,0,0,0,1,0
شکریہ جی آپ کو اچھا لگا میرے لیے یہ بھی بہت خوشی کی بات ھے,0,0,0,0,0,1
جس پڑھ کر آپ کچھ حاصل کر لیں یا جسے دیکھ کر آپکی اداسی دور ہو جائے,0,0,0,1,0,0
غصہ کیوں ہونداے او🙄,0,0,0,0,1,0
اب ڈر نہیں لگتا کچھ کھونے کو میں نے زندگی میں زندگی کو کھویا ہے  بزمشاعری,0,0,0,1,0,0
جی مجھے بھی کافی حیرت ہوئی یہ معلومات حیران کن تھی میرے لیے,0,0,0,0,1,0
میں اسی ڈیوڈ ایریل کو برسوں سے نظر میں رکھا ہوا ہوں اور اس وقت سے اسے دیکھ رہا ہوں جب اس نے داڑھی بھی نہیں کٹوائ ت,0,0,0,0,1,0
ماہ رمضان آ گیا نور ہر سو چھا گیا رب کا اک انعام ہے اس کو جو بھی پا گیا برکتوں کا سلسلہ اپنے من کو بھا گیا ت,0,0,0,0,0,0
پوری دنیاں لاک ڈاون میں کمی لارہی ہےتجارتی مراکز کھل رہی ہےآمدورفت میں تیزی آرہی ہےہجوم بڑھ رہال,1,0,0,0,0,0
اللہ دور کرے اداسی,0,0,0,1,0,0
